A,E,I,W,Omega,TA0
9750500,0.7,63.5,90,0,0
9750500,0.7,63.5,90,0,1.57
9750500,0.7,63.5,90,0,3.14
9750500,0.7,63.5,90,0,4.71
9750500,0.7,63.5,90,120,0
9750500,0.7,63.5,90,120,1.57
9750500,0.7,63.5,90,120,3.14
9750500,0.7,63.5,90,120,4.71
9750500,0.7,63.5,90,240,0
9750500,0.7,63.5,90,240,1.57
9750500,0.7,63.5,90,240,3.14
9750500,0.7,63.5,90,240,4.71
9750500,0.7,63.5,-90,0,0
9750500,0.7,63.5,-90,0,1.57
9750500,0.7,63.5,-90,0,3.14
9750500,0.7,63.5,-90,0,4.71
9750500,0.7,63.5,-90,120,0
9750500,0.7,63.5,-90,120,1.57
9750500,0.7,63.5,-90,120,3.14
9750500,0.7,63.5,-90,120,4.71
9750500,0.7,63.5,-90,240,0
9750500,0.7,63.5,-90,240,1.57
9750500,0.7,63.5,-90,240,3.14
9750500,0.7,63.5,-90,240,4.71
45000000,0,0,0,0,0
45000000,0,0,0,0,1.57
45000000,0,0,0,0,3.14
45000000,0,0,0,0,4.71
70000000,0.8,0,90,0,0
70000000,0.8,0,90,0,1.57
70000000,0.8,0,90,0,3.14
70000000,0.8,0,90,0,4.71
70000000,0.8,0,-90,0,0
70000000,0.8,0,-90,0,1.57
70000000,0.8,0,-90,0,3.14
70000000,0.8,0,-90,0,4.71
